,home-score,away-score,home-off,home-pass,home-pblk,home-recv,home-run,home-rblk,away-off,away-pass,away-pblk,away-recv,away-run,away-rblk,home-def,home-rdef,home-tack,home-prsh,home-cov,away-def,away-rdef,away-tack,away-prsh,away-cov
MV-NYG-09/08/2024,6,28,55.1,57.6,72.3,55.4,63.4,44.2,79.1,86.2,52.1,62.3,81.0,75.8,56.9,40.1,64.7,66.1,67.6,82.9,84.5,57.1,59.8,84.3
SF-MV-09/15/2024,23,17,75.0,72.1,67.6,68.1,67.4,78.9,73.1,60.1,62.0,78.1,68.6,61.9,65.8,70.1,71.6,64.4,63.2,69.0,52.9,78.7,65.9,73.9
NYJ-MV-10/06/2024,23,17,60.5,50.8,67.0,60.1,55.8,75.4,57.6,48.3,73.3,59.3,56.0,54.8,69.5,74.9,71.7,61.8,65.7,63.3,54.4,81.2,61.8,67.2
SS-NEP-09/15/2024,20,23,66.2,67.2,56.4,60.8,74.1,59.7,69.1,79.2,49.3,65.0,69.5,62.9,63.2,65.0,62.2,69.0,56.2,67.3,65.2,66.6,71.4,59.4
NEP-NYJ-09/19/2024,24,3,79.0,78.0,54.8,78.1,82.8,62.1,58.2,61.8,54.2,58.7,61.5,56.1,73.3,53.2,57.2,74.5,73.5,61.8,58.4,47.3,68.3,58.6
NEP-SF-09/29/2024,30,13,83.0,72.1,68.6,82.6,68.6,79.8,48.9,34.4,41.1,59.2,50.7,56.3,85.6,69.3,29.3,82.3,80.3,52.0,45.2,56.5,57.6,57.6
PE-NOS-09/22/2024,12,15,53.3,55.1,22.6,69.5,55.4,49.0,75.8,70.2,67.4,67.4,85.4,70.4,70.8,49.4,64.9,67.0,78.0,85.2,61.6,82.2,90.5,85.8
NYG-WC-09/15/2024,21,18,62.4,61.5,57.5,66.5,72.8,51.3,72.7,65.0,78.2,70.9,70.9,58.2,56.3,53.6,29.6,57.4,59.0,64.1,65.3,57.9,64.5,57.9
NYG-SS-10/06/2024,20,29,63.2,68.4,62.1,61.3,75.5,56.7,70.1,71.8,71.8,62.5,63.3,70.2,60.2,63.2,58.6,58.6,56.2,65.9,50.3,67.5,68.5,63.1
NYJ-SF-09/09/2024,32,19,82.1,84.9,70.1,66.0,73.3,81.3,67.9,78.9,56.4,60.1,68.8,61.7,73.2,60.8,42.3,66.9,78.1,54.9,41.3,33.9,57.7,70.0
NYJ-TT-09/15/2024,17,24,71.0,61.1,64.0,66.5,78.8,64.8,73.1,69.4,85.1,62.2,70.2,71.6,48.9,41.4,78.5,57.2,56.2,64.0,57.5,58.8,61.9,73.2
PE-TBB-09/29/2024,33,16,76.3,85.1,70.7,66.7,70.9,65.1,59.2,44.9,49.4,61.2,77.6,65.6,72.6,60.3,70.5,73.7,72.2,53.6,56.4,44.9,64.7,48.7
WC-TBB-09/08/2024,37,20,75.4,81.7,69.2,77.4,60.4,59.7,60.9,36.3,68.8,62.7,66.1,63.0,53.7,47.6,42.6,60.6,56.0,51.5,73.7,62.7,54.3,37.5
